step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
10,6110.598848899,0.0003658169998743688,"[-0.00033465262228513266, 0.0036005325366482693, -0.01111051553605106, 0.0, 0.0, 0.0, 0.0]","[-0.00033465262228513266, 0.0036005325366482693, -0.01]","[-0.00033465262228513266, 0.0036005325366482693, -0.01]","[-0.029444245925455824, 0.19578112702412598, 0.07333760979026853]","[-0.00033465262228513093, 0.003600532536648271, -0.009999999999999995]",0,0.011684150906330213,0.010633711813147144,0.010633711813147144,0.0011105155360510606,False,True,False,0.6,,"[-0.00033465262228513266, 0.0036005325366482693, -0.01111051553605106]","[-0.00033465262228513266, 0.0036005325366482693, -0.01111051553605106]",0.011684150906330213,0.011684150906330213,0.011684150906330213,0.0,0.0005937426452741679
11,6121.34937326,0.00029286999961186666,"[5.062705946757423e-05, -0.0007196523791165364, -0.012210506471207219, 0.0, 0.0, 0.0, 0.0]","[5.062705946757423e-05, -0.0007196523791165364, -0.01]","[5.062705946757423e-05, -0.0007196523791165364, -0.01]","[-0.02932131799232817, 0.19458137507021117, 0.0637460694473202]","[5.062705946757423e-05, -0.000719652379116531, -0.009999999999999995]",0,0.01223179998729998,0.01002598935995438,0.01002598935995438,0.0022105064712072183,False,True,False,0.6,,"[5.062705946757423e-05, -0.0007196523791165364, -0.012210506471207219]","[5.062705946757423e-05, -0.0007196523791165364, -0.012210506471207219]",0.01223179998729998,0.01223179998729998,0.01223179998729998,0.0,0.004474641683643389
12,6132.064962931,0.00036352299957798095,"[0.00014694697990575226, -0.0007196523791165364, -0.012210506471207219, 0.0, 0.0, 0.0, 0.0]","[0.00014694697990575226, -0.0007196523791165364, -0.01]","[0.00014694697990575226, -0.0007196523791165364, -0.01]","[-0.0291566220549022, 0.19374442443881731, 0.05410509972084975]","[0.00014694697990575226, -0.000719652379116531, -0.010000000000000002]",0,0.01223257786589012,0.010026938364309991,0.010026938364309991,0.0022105064712072183,False,True,False,0.6,,"[0.00014694697990575226, -0.0007196523791165364, -0.012210506471207219]","[0.00014694697990575226, -0.0007196523791165364, -0.012210506471207219]",0.01223257786589012,0.01223257786589012,0.01223257786589012,0.0,9.631992043817802e-05
13,6142.711754921,0.000396675000047253,"[0.00024326690034392855, -0.0012312532244044745, -0.008635535931949705, 0.0, 0.0, 0.0, 0.0]","[0.00024326690034392855, -0.0012312532244044745, -0.008635535931949705]","[0.00024326690034392855, -0.0012312532244044745, -0.008635535931949705]","[-0.028891874674173826, 0.19237069663572515, 0.04586450301635848]","[0.00024326690034393028, -0.0012312532244044827, -0.008635535931949705]",0,0.008726261749420757,0.008726261749420757,0.008726261749420757,0.0,False,True,False,0.6,,"[0.00024326690034392855, -0.0012312532244044745, -0.008635535931949705]","[0.00024326690034392855, -0.0012312532244044745, -0.008635535931949705]",0.008726261749420757,0.008726261749420757,0.008726261749420757,0.0,0.0036126759207728153
14,6153.327855637,0.0002495990001989412,"[0.00024326690034392855, -0.0013449423011351268, -0.006779301228873687, 0.0, 0.0, 0.0, 0.0]","[0.00024326690034392855, -0.0013449423011351268, -0.006779301228873687]","[0.00024326690034392855, -0.0013449423011351268, -0.006779301228873687]","[-0.028628103671897318, 0.1908892927049874, 0.03934065711405709]","[0.00024326690034393028, -0.0013449423011351325, -0.006779301228873685]",0,0.0069157048614001656,0.0069157048614001656,0.0069157048614001656,0.0,False,True,False,0.6,,"[0.00024326690034392855, -0.0013449423011351268, -0.006779301228873687]","[0.00024326690034392855, -0.0013449423011351268, -0.006779301228873687]",0.0069157048614001656,0.0069157048614001656,0.0069157048614001656,0.0,0.0018597130098678073
15,6163.888184966,0.00023970999973244034,"[0.00024326690034392855, -0.0011175641476738212, -0.00478556765890315, 0.0, 0.0, 0.0, 0.0]","[0.00024326690034392855, -0.0011175641476738212, -0.00478556765890315]","[0.00024326690034392855, -0.0011175641476738212, -0.00478556765890315]","[-0.028360312940980847, 0.18960818737820873, 0.034633424739283165]","[0.0002432669003439268, -0.001117564147673833, -0.004785567658903152]",0,0.004920344116716699,0.004920344116716699,0.004920344116716699,0.0,False,True,False,0.6,,"[0.00024326690034392855, -0.0011175641476738212, -0.00478556765890315]","[0.00024326690034392855, -0.0011175641476738212, -0.00478556765890315]",0.004920344116716699,0.004920344116716699,0.004920344116716699,0.0,0.0020066575125563743
16,6174.356665452,0.00021777900019515073,"[0.00024326690034392855, -0.0008333414558471896, -0.003341829556510691, 0.0, 0.0, 0.0, 0.996078431372549]","[0.00024326690034392855, -0.0008333414558471896, -0.003341829556510691]","[0.00024326690034392855, -0.0008333414558471896, -0.003341829556510691]","[-0.028101249857612712, 0.1885626062392281, 0.031191102155657124]","[0.00024326690034393028, -0.0008333414558471808, -0.0033418295565106892]",0,0.9960844155527931,0.0034527469573666847,0.0034527469573666847,0.0,False,True,False,0.6,,"[0.00024326690034392855, -0.0008333414558471896, -0.003341829556510691]","[0.00024326690034392855, -0.0008333414558471896, -0.003341829556510691]",0.0034527469573666847,0.0034527469573666847,0.0034527469573666847,0.0,0.0014714490296469515
17,6186.113937278,0.00022224700023798505,"[5.062705946757423e-05, -0.0007196523791165364, -0.0023793374882490528, 0.0, 0.0, 0.0, 0.996078431372549]","[5.062705946757423e-05, -0.0007196523791165364, -0.0023793374882490528]","[5.062705946757423e-05, -0.0007196523791165364, -0.0023793374882490528]","[-0.02828793068143593, 0.1885076686888794, 0.02961283355149407]","[5.062705946757423e-05, -0.000719652379116531, -0.0023793374882490545]",0,0.9960815343911997,0.002486304391844598,0.002486304391844598,0.0,False,True,False,0.6,,"[5.062705946757423e-05, -0.0007196523791165364, -0.0023793374882490528]","[5.062705946757423e-05, -0.0007196523791165364, -0.0023793374882490528]",0.002486304391844598,0.002486304391844598,0.002486304391844598,0.0,0.0009881428519841154
18,6198.076359968,0.00022699599958286854,"[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333, 0.0, 0.0, 0.0, 0.996078431372549]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[-0.027879234711095126, 0.1886983004688253, 0.02845750331450492]","[5.062705946757423e-05, -0.0005491187640205564, -0.0022418386213545333]",0,0.996081106828414,0.002308665181516495,0.002308665181516495,0.0,False,True,False,0.6,,"[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]",0.002308665181516495,0.002308665181516495,0.002308665181516495,0.0,0.00021906084149153735
19,6210.622599396,0.000260769000306027,"[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333, 0.0, 0.0, 0.0, 0.996078431372549]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[-0.02787275690263005, 0.18864692690086915, 0.027736956961555096]","[5.062705946757423e-05, -0.0005491187640205564, -0.0022418386213545333]",0,0.996081106828414,0.002308665181516495,0.002308665181516495,0.0,False,True,False,0.6,,"[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]",0.002308665181516495,0.002308665181516495,0.002308665181516495,0.0,0.0
20,6223.437403909,0.0002821460002451204,"[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333, 0.0, 0.0, 0.0, 0.996078431372549]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[-0.02775931085332729, 0.18855842826476477, 0.027202714677237262]","[5.062705946757423e-05, -0.0005491187640205564, -0.0022418386213545333]",0,0.996081106828414,0.002308665181516495,0.002308665181516495,0.0,False,True,False,0.6,,"[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]","[5.062705946757423e-05, -0.000549118764020557, -0.0022418386213545333]",0.002308665181516495,0.002308665181516495,0.002308665181516495,0.0,0.0
21,6236.346083173,0.0002176610005335533,"[5.062705946757423e-05, -0.0006628078407512103, -0.0023793374882490528, 0.0, 0.0, 0.0, 0.996078431372549]","[5.062705946757423e-05, -0.0006628078407512103, -0.0023793374882490528]","[5.062705946757423e-05, -0.0006628078407512103, -0.0023793374882490528]","[-0.02752134288221342, 0.18832943039723388, 0.026480823174847345]","[5.062705946757423e-05, -0.0006628078407512061, -0.0023793374882490545]",0,0.9960814949439698,0.0024704502051041076,0.0024704502051041076,0.0,False,True,False,0.6,,"[5.062705946757423e-05, -0.0006628078407512103, -0.0023793374882490528]","[5.062705946757423e-05, -0.0006628078407512103, -0.0023793374882490528]",0.0024704502051041076,0.0024704502051041076,0.0024704502051041076,0.0,0.00017841284865486887
