step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
10,1526.77111157,0.0004111410000859905,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707, 0.0, 0.0, 0.0, 0.0]","[-0.0004050525899304471, 0.005065187918254633, -0.005719075409847393]","[-0.0004050525899304471, 0.005065187918254633, -0.005719075409847393]","[-0.013520800577084081, 0.2, 0.0816952600692354]","[-0.00040505258993044774, 0.0011100031977254177, -0.005719075409847396]",0,0.00798806464376118,0.00765036076217084,0.00765036076217084,0.00046255028130632176,False,True,True,0.6,0.01,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707]","[-0.0004050525899304471, 0.005065187918254633, -0.005719075409847393]",0.00798806464376118,0.00798806464376118,0.00765036076217084,0.00046255028130632176,0.0006938254219594834
11,1537.393305712,0.00033756299990272964,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707, 0.0, 0.0, 0.0, 0.0]","[-0.0003944975517881615, 0.005053307785416815, -0.005996150215989581]","[-0.0003944975517881615, 0.005053307785416815, -0.005996150215989581]","[-0.013898211261922339, 0.2, 0.07558750182884649]","[-0.0003944975517881609, 0.0002503020547784396, -0.005996150215989579]",0,0.00798806464376118,0.007851456253793493,0.007851456253793493,0.00018502011252252907,False,True,True,0.6,0.01,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707]","[-0.0003944975517881615, 0.005053307785416815, -0.005996150215989581]",0.00798806464376118,0.00798806464376118,0.007851456253793493,0.00018502011252252907,0.0002775301687837927
12,1548.002139464,0.0002330770000753546,"[-0.0002712668480132534, 0.005045387696858268, -0.0063205736162159215, 0.0, 0.0, 0.0, 0.0]","[-0.00032055912952321663, 0.005048555732281687, -0.006190804256125386]","[-0.00032055912952321663, 0.005048555732281687, -0.006190804256125386]","[-0.014198944875538399, 0.2, 0.06931198728295251]","[-0.0003205591295232166, 0.00019568525149310512, -0.006190804256125379]",0,0.008091920263599034,0.007994793960768168,0.007994793960768168,0.00013885190774061618,False,True,True,0.6,0.01,"[-0.0002712668480132534, 0.005045387696858268, -0.0063205736162159215]","[-0.00032055912952321663, 0.005048555732281687, -0.006190804256125386]",0.008091920263599034,0.008091920263599034,0.007994793960768168,0.00013885190774061618,0.00020827786161092587
13,1558.536255703,0.00021892999984629569,"[-0.0002712668480132534, 0.0034406712795333767, -0.011838994696745465, 0.0, 0.0, 0.0, 0.0]","[-0.00029098376061723866, 0.004083825060632701, -0.008476321702450156]","[-0.00029098376061723866, 0.004083825060632701, -0.008476321702450156]","[-0.01447432915886832, 0.2, 0.06077903056348621]","[-0.0002909837606172392, 0.0002177906004987018, -0.008476321702450156]",0,0.012331812518287981,0.009413305916532307,0.009413305916532307,0.003423682989026288,False,True,True,0.6,0.01,"[-0.0002712668480132534, 0.0034406712795333767, -0.01]","[-0.00029098376061723866, 0.004083825060632701, -0.008476321702450156]",0.012331812518287981,0.010578837580596315,0.009413305916532307,0.0016539743339028523,0.0024809615008542806
14,1569.037416567,0.00022563299989997176,"[-9.697583049317685e-05, 0.0011405777480343654, -0.0147029853841089, 0.0, 0.0, 0.0, 0.0]","[-0.00017457900254280156, 0.0023178766730737, -0.009390528680980063]","[-0.00017457900254280156, 0.0023178766730737, -0.009390528680980063]","[-0.014631882092040341, 0.2, 0.051575286394240596]","[-0.00017457900254280213, 0.00023330933256321407, -0.00939052868098006]",0,0.014747477788297594,0.009673937099651682,0.009673937099651682,0.005441897760324926,False,True,True,0.6,0.01,"[-9.697583049317685e-05, 0.0011405777480343654, -0.01]","[-0.00017457900254280156, 0.0023178766730737, -0.009390528680980063]",0.014747477788297594,0.010065302872294056,0.009673937099651682,0.001327972251185558,0.0019919583767783367
15,1579.568594631,0.00042828400000871625,"[7.731518702689972e-05, -0.0006781008582671783, -0.007717642244198085, 0.0, 0.0, 0.0, 0.0]","[-2.3442488800980794e-05, 0.000520290154269173, -0.008386796818910875]","[-2.3442488800980794e-05, 0.000520290154269173, -0.008386796818910875]","[-0.014636248376673617, 0.2, 0.04348357093223208]","[-2.344248880098085e-05, 0.00025929045524097916, -0.008386796818910872]",0,0.007747760981184083,0.008402952592785716,0.008402952592785716,0.0013762488775745443,False,True,True,0.6,0.01,"[7.731518702689972e-05, -0.0006781008582671783, -0.007717642244198085]","[-2.3442488800980794e-05, 0.000520290154269173, -0.008386796818910875]",0.007747760981184083,0.007747760981184083,0.008402952592785716,0.0013762488775745443,0.0020643733163618174
16,1590.165550525,0.00023162399998000183,"[7.731518702689972e-05, -0.0006781008582671783, -0.004224970674242677, 0.0, 0.0, 0.0, 0.0]","[3.701211669574751e-05, -0.00019874445325263775, -0.0058897011321099564]","[3.701211669574751e-05, -0.00019874445325263775, -0.0058897011321099564]","[-0.014572613149763157, 0.1994977023487937, 0.03777883906231974]","[3.701211669574801e-05, -0.00019874445325263057, -0.005889701132109959]",0,0.004279740133505574,0.005893169663267662,0.005893169663267662,0.001732839980453355,False,True,True,0.6,0.01,"[7.731518702689972e-05, -0.0006781008582671783, -0.004224970674242677]","[3.701211669574751e-05, -0.00019874445325263775, -0.0058897011321099564]",0.004279740133505574,0.004279740133505574,0.005893169663267662,0.001732839980453355,0.002599259970680032
17,1600.853609981,0.00023448899992217775,"[7.731518702689972e-05, -0.0006781008582671783, -0.003177169203256055, 0.0, 0.0, 0.0, 0.0]","[6.119395889443884e-05, -0.00048635829626136206, -0.004262181974797615]","[6.119395889443884e-05, -0.00048635829626136206, -0.004262181974797615]","[-0.014488576146601057, 0.1986988442349315, 0.033442709959956234]","[6.119395889443886e-05, -0.00048635829626136884, -0.0042621819747976145]",0,0.003249646528200629,0.0042902778790233536,0.0042902778790233536,0.0011019427473736335,False,True,True,0.6,0.01,"[7.731518702689972e-05, -0.0006781008582671783, -0.003177169203256055]","[6.119395889443884e-05, -0.00048635829626136206, -0.004262181974797615]",0.003249646528200629,0.003249646528200629,0.0042902778790233536,0.0011019427473736335,0.0016529141210604508
18,1611.465520585,0.0003689320001285523,"[7.731518702689972e-05, -0.0006246103110230154, -0.0024087814578658655, 0.0, 0.0, 0.0, 0.0]","[7.086669577391537e-05, -0.0005693095051183541, -0.0031501416646385655]","[7.086669577391537e-05, -0.0005693095051183541, -0.0031501416646385655]","[-0.01439528132726948, 0.19782194786862803, 0.030066897432410058]","[7.08666957739152e-05, -0.0005693095051183539, -0.003150141664638565]",0,0.0024896473225217417,0.003201956887354958,0.003201956887354958,0.0007434478585342791,False,True,True,0.6,0.01,"[7.731518702689972e-05, -0.0006246103110230154, -0.0024087814578658655]","[7.086669577391537e-05, -0.0005693095051183541, -0.0031501416646385655]",0.0024896473225217417,0.0024896473225217417,0.003201956887354958,0.0007434478585342791,0.0011151717878014184
19,1622.121395019,0.00038020300007701735,"[7.731518702689972e-05, -0.0005711197637788526, -0.002338928026466758, 0.0, 0.0, 0.0, 0.0]","[7.473579052570598e-05, -0.0005703956603146532, -0.0026634134817354813]","[7.473579052570598e-05, -0.0005703956603146532, -0.0026634134817354813]","[-0.014297517434888999, 0.19693497207369798, 0.02707938995873174]","[7.473579052570678e-05, -0.0005703956603146654, -0.0026634134817354813]",0,0.0024088876552706855,0.0027248317420313518,0.0027248317420313518,0.00032449651507079045,False,True,True,0.6,0.01,"[7.731518702689972e-05, -0.0005711197637788526, -0.002338928026466758]","[7.473579052570598e-05, -0.0005703956603146532, -0.0026634134817354813]",0.0024088876552706855,0.0024088876552706855,0.0027248317420313518,0.00032449651507079045,0.0004867447726061853
