step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
10,4655.148908495,0.00036688799991679844,"[-0.002646330712801393, 0.004623734227224143, 0.0014018813513502412, 0.0, 0.0, 0.0, 0.0]","[-0.0038736948073702943, 0.0065874096599780555, 0.0016220168876496005]","[-0.0038736948073702943, 0.0065874096599780555, 0.0016220168876496005]","[-0.08278989366602406, 0.2, 0.08905018014275891]","[-0.0038736948073702926, 0.0013673627636158758, 0.0016220168876495966]",0,0.0055088343384770205,0.0078121966355718594,0.0078121966355718594,0.0023261348800488785,False,True,True,0.6,0.01,"[-0.002646330712801393, 0.004623734227224143, 0.0014018813513502412]","[-0.0038736948073702943, 0.0065874096599780555, 0.0016220168876496005]",0.0055088343384770205,0.0055088343384770205,0.0078121966355718594,0.0023261348800488785,0.003489202320073318
11,4665.788986398,0.00030987100035417825,"[-0.002646330712801393, 0.004623734227224143, 0.0014018813513502412, 0.0, 0.0, 0.0, 0.0]","[-0.0031372763506289534, 0.005409204400325708, 0.001489935565869985]","[-0.0031372763506289534, 0.005409204400325708, 0.001489935565869985]","[-0.08578421100242178, 0.2, 0.08955437195904101]","[-0.003137276350628951, 0.0003428330736753582, 0.0014899355658699875]",0,0.0055088343384770205,0.006428211503611486,0.006428211503611486,0.0009304539520195514,False,True,True,0.6,0.01,"[-0.002646330712801393, 0.004623734227224143, 0.0014018813513502412]","[-0.0031372763506289534, 0.005409204400325708, 0.001489935565869985]",0.0055088343384770205,0.0055088343384770205,0.006428211503611486,0.0009304539520195514,0.001395680928029327
12,4676.465448799,0.00034223199963889783,"[-0.0022610510310486845, 0.004566889688858817, 0.0014018813513502412, 0.0, 0.0, 0.0, 0.0]","[-0.0026115411588807924, 0.004903815573445574, 0.0014371030371581389]","[-0.0026115411588807924, 0.004903815573445574, 0.0014371030371581389]","[-0.08827492913883213, 0.2, 0.09001324403487504]","[-0.0026115411588807924, 0.00023245279714131928, 0.0014371030371581328]",0,0.005285272416675878,0.0057387123592583834,0.0057387123592583834,0.0004874453287944053,False,True,True,0.6,0.01,"[-0.0022610510310486845, 0.004566889688858817, 0.0014018813513502412]","[-0.0026115411588807924, 0.004903815573445574, 0.0014371030371581389]",0.005285272416675878,0.005285272416675878,0.0057387123592583834,0.0004874453287944053,0.0007311679931916073
13,4687.8575722,0.00034478700035833754,"[-0.0022610510310486845, 0.004566889688858817, 0.0014018813513502412, 0.0, 0.0, 0.0, 0.0]","[-0.0024012470821815277, 0.00470166004269352, 0.0014159700256734004]","[-0.0024012470821815277, 0.00470166004269352, 0.0014159700256734004]","[-0.09056486603073136, 0.2, 0.09043512688438243]","[-0.0024012470821815207, 0.0002048897795802751, 0.0014159700256733965]",0,0.005285272416675878,0.005465946013303796,0.005465946013303796,0.00019497813151776188,False,True,True,0.6,0.01,"[-0.0022610510310486845, 0.004566889688858817, 0.0014018813513502412]","[-0.0024012470821815277, 0.00470166004269352, 0.0014159700256734004]",0.005285272416675878,0.005285272416675878,0.005465946013303796,0.00019497813151776188,0.0002924671972766434
14,4699.169096219,0.0002974480003103963,"[-0.0021647311106105047, 0.004907956919050776, -0.007879292164029845, 0.0, 0.0, 0.0, 0.0]","[-0.002259337499238914, 0.004825438168507874, -0.004161187288148547]","[-0.002259337499238914, 0.004825438168507874, -0.004161187288148547]","[-0.09271656865324046, 0.2, 0.08527085875241326]","[-0.0022593374992389142, 0.00019443989386083715, -0.0041611872881485434]",0,0.009531912027848637,0.006760542811092082,0.006760542811092082,0.0037202235928788948,False,True,True,0.6,0.01,"[-0.0021647311106105047, 0.004907956919050776, -0.007879292164029845]","[-0.002259337499238914, 0.004825438168507874, -0.004161187288148547]",0.009531912027848637,0.009531912027848637,0.006760542811092082,0.0037202235928788948,0.005580335389318342
15,4710.572553554,0.00024214400036726147,"[-0.0014904916675432638, 0.002861553537899025, -0.014822984942203096, 0.0, 0.0, 0.0, 0.0]","[-0.0017980300002215237, 0.0036471073901425646, -0.007664474915259419]","[-0.0017980300002215237, 0.0036471073901425646, -0.007664474915259419]","[-0.09440615411502105, 0.2, 0.07712723029747995]","[-0.0017980300002215233, 0.00021246212036843404, -0.007664474915259414]",0,0.015170067127671454,0.008676317186662208,0.008676317186662208,0.0072080469259497995,False,True,True,0.6,0.01,"[-0.0014904916675432638, 0.002861553537899025, -0.01]","[-0.0017980300002215237, 0.0036471073901425646, -0.007664474915259419]",0.015170067127671454,0.010507618857823038,0.008676317186662208,0.0024832140669490597,0.003724821100423589
16,4721.902500564,0.0002897730000768206,"[-0.0012978518266669094, 0.0029752426146296782, -0.014822984942203096, 0.0, 0.0, 0.0, 0.0]","[-0.0014979230960887552, 0.003243988524834833, -0.009065789966103768]","[-0.0014979230960887552, 0.003243988524834833, -0.009065789966103768]","[-0.09579598267349797, 0.2, 0.06792692334075612]","[-0.0014979230960887602, 0.00022780946535005953, -0.009065789966103771]",0,0.015174233772308596,0.009744525789414482,0.009744525789414482,0.005766935656821863,False,True,True,0.6,0.01,"[-0.0012978518266669094, 0.0029752426146296782, -0.01]","[-0.0014979230960887552, 0.003243988524834833, -0.009065789966103768]",0.015174233772308596,0.010513633433779736,0.009744525789414482,0.0009924722991260088,0.001488708448689013
17,4733.268573807,0.0003365319998920313,"[-0.0004309725427233107, 0.0008151501567472761, -0.013791743440494197, 0.0, 0.0, 0.0, 0.0]","[-0.0008577527640694885, 0.001786685503982299, -0.009626315986441508]","[-0.0008577527640694885, 0.001786685503982299, -0.009626315986441508]","[-0.09653196332026497, 0.2, 0.058310103867168034]","[-0.0008577527640694915, 0.0002532452748729985, -0.009626315986441508]",0,0.013822532121107232,0.009828221831299326,0.009828221831299326,0.004298465791795398,False,True,True,0.6,0.01,"[-0.0004309725427233107, 0.0008151501567472761, -0.01]","[-0.0008577527640694885, 0.001786685503982299, -0.009626315986441508]",0.013822532121107232,0.010042420381094715,0.009828221831299326,0.001125016457767864,0.0016875246866517965
18,4744.40160406,0.0003401889998713159,"[5.062705946757423e-05, -0.00015120699546327223, -0.010216772901236681, 0.0, 0.0, 0.0, 0.0]","[-0.00031272486994725086, 0.0006239500043149563, -0.009850526394576604]","[-0.00031272486994725086, 0.0006239500043149563, -0.009850526394576604]","[-0.09671308799187409, 0.2, 0.04852995223006411]","[-0.00031272486994725346, 0.00027208207686788, -0.009850526394576606]",0,0.010218017183880225,0.009875220539431942,0.009875220539431942,0.0009311441899917384,False,True,True,0.6,0.01,"[5.062705946757423e-05, -0.00015120699546327223, -0.01]","[-0.00031272486994725086, 0.0006239500043149563, -0.009850526394576604]",0.010218017183880225,0.010001271251927296,0.009875220539431942,0.0008690427823950498,0.0013035641735925745
19,4755.895962375,0.00024732400015636813,"[0.00024326690034392855, -0.0006628078407512103, -0.007810542730582585, 0.0, 0.0, 0.0, 0.0]","[2.087019222745678e-05, -0.0001481047027247436, -0.008626536196180193]","[2.087019222745678e-05, -0.0001481047027247436, -0.008626536196180193]","[-0.09654896610429022, 0.19955588380233455, 0.04000268887994422]","[2.0870192227462336e-05, -0.00014810470272474952, -0.008626536196180194]",0,0.007842389353049279,0.008627832712326998,0.008627832712326998,0.000990063105046001,False,True,True,0.6,0.01,"[0.00024326690034392855, -0.0006628078407512103, -0.007810542730582585]","[2.087019222745678e-05, -0.0001481047027247436, -0.008626536196180193]",0.007842389353049279,0.007842389353049279,0.008627832712326998,0.000990063105046001,0.0014850946575690018
