step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
10,2305.298606863,0.0004410640003698063,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136, 0.0, 0.0, 0.0, 0.0]","[0.0016968525848184287, 0.0046435672756130475, -0.0011452216113492664]","[0.0016968525848184287, 0.0046435672756130475, -0.0011452216113492664]","[0.05910750877492267, 0.19377892701721341, 0.09122798150701662]","[0.0016968525848184285, 0.0046435672756130475, -0.0011452216113492647]",0,0.00508182283127331,0.005074796377870818,0.005074796377870818,0.0002235280357396903,False,True,True,0.6,0.015,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136]","[0.0016968525848184287, 0.0046435672756130475, -0.0011452216113492664]",0.00508182283127331,0.00508182283127331,0.005074796377870818,0.0002235280357396903,0.00033529205360953543
11,2316.569337941,0.0002345789998798864,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136, 0.0, 0.0, 0.0, 0.0]","[0.0015965852337438955, 0.004659999229934695, -0.0012327645778277881]","[0.0015965852337438955, 0.004659999229934695, -0.0012327645778277881]","[0.06053435408437838, 0.197882290430728, 0.08942083868287051]","[0.0015965852337438968, 0.004659999229934708, -0.001232764577827783]",0,0.00508182283127331,0.005077832779439268,0.005077832779439268,8.941121429587598e-05,False,True,True,0.6,0.015,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136]","[0.0015965852337438955, 0.004659999229934695, -0.0012327645778277881]",0.00508182283127331,0.00508182283127331,0.005077832779439268,8.941121429587598e-05,0.00013411682144381435
12,2328.371535543,0.00037892799991823267,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136, 0.0, 0.0, 0.0, 0.0]","[0.0015564782933140823, 0.004666572011663354, -0.0012677817644191967]","[0.0015564782933140823, 0.004666572011663354, -0.0012677817644191967]","[0.061919461015251774, 0.2, 0.08754524404050185]","[0.0015564782933140814, 0.0026781804857511915, -0.0012677817644191902]",0,0.00508182283127331,0.005080038348259936,0.005080038348259936,3.57644857183503e-05,False,True,True,0.6,0.015,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136]","[0.0015564782933140823, 0.004666572011663354, -0.0012677817644191967]",0.00508182283127331,0.00508182283127331,0.005080038348259936,3.57644857183503e-05,5.3646728577525684e-05
13,2340.146649446,0.0002989690001413692,"[0.001355449315507463, 0.003226709090556725, -0.012188261853741007, 0.0, 0.0, 0.0, 0.0]","[0.0014358609066301106, 0.0038026542589993766, -0.007820069818012284]","[0.0014358609066301106, 0.0038026542589993766, -0.007820069818012284]","[0.0632336235260085, 0.2, 0.07909241885275572]","[0.0014358609066301153, 0.0003926771052241429, -0.007820069818012282]",0,0.01268079734943151,0.008813363030946894,0.008813363030946894,0.0044067312740900325,False,True,True,0.6,0.015,"[0.001355449315507463, 0.003226709090556725, -0.012188261853741007]","[0.0014358609066301106, 0.0038026542589993766, -0.007820069818012284]",0.01268079734943151,0.01268079734943151,0.008813363030946894,0.0044067312740900325,0.0066100969111350496
14,2351.603815616,0.0002298500003234949,"[0.0015297403330275404, 0.0047779349606374534, -0.006460280479014138, 0.0, 0.0, 0.0, 0.0]","[0.0014921885624685684, 0.004387822679982223, -0.007004196214613396]","[0.0014921885624685684, 0.004387822679982223, -0.007004196214613396]","[0.06465771322957423, 0.2, 0.07209553691558829]","[0.0014921885624685632, 0.00021443419613989545, -0.007004196214613401]",0,0.00817948603777181,0.00839871294840662,0.00839871294840662,0.0006704043961838418,False,True,True,0.6,0.015,"[0.0015297403330275404, 0.0047779349606374534, -0.006460280479014138]","[0.0014921885624685684, 0.004387822679982223, -0.007004196214613396]",0.00817948603777181,0.00817948603777181,0.00839871294840662,0.0006704043961838418,0.0010056065942757625
15,2363.722972786,0.00034152800026276964,"[-0.0002712668480132534, -0.0006781008582671783, -0.011838994696745465, 0.0, 0.0, 0.0, 0.0]","[0.00043411531617947534, 0.0013482685570325823, -0.009905075303892638]","[0.00043411531617947534, 0.0013482685570325823, -0.009905075303892638]","[0.06501518429300694, 0.2, 0.062111414668549546]","[0.0004341153161794703, 0.0002360093777351302, -0.00990507530389264]",0,0.011861500828579029,0.010005838344956816,0.010005838344956816,0.0028885604066516877,False,True,True,0.6,0.015,"[-0.0002712668480132534, -0.0006781008582671783, -0.011838994696745465]","[0.00043411531617947534, 0.0013482685570325823, -0.009905075303892638]",0.011861500828579029,0.011861500828579029,0.010005838344956816,0.0028885604066516877,0.00433284060997753
16,2375.987182088,0.00036337900019134395,"[-0.00038746085969330445, -0.00105253468897632, -0.008346323126790059, 0.0, 0.0, 0.0, 0.0]","[-5.8830389344192524e-05, -9.221339057275909e-05, -0.00896982399763109]","[-5.8830389344192524e-05, -9.221339057275909e-05, -0.00896982399763109]","[0.06486554647189449, 0.19968108762541456, 0.05337327832027869]","[-5.88303893441916e-05, -9.221339057274847e-05, -0.00896982399763109]",0,0.00842134579067285,0.008970490893623933,0.008970490893623933,0.0011912045660376327,False,True,True,0.6,0.015,"[-0.00038746085969330445, -0.00105253468897632, -0.008346323126790059]","[-5.8830389344192524e-05, -9.221339057275909e-05, -0.00896982399763109]",0.00842134579067285,0.00842134579067285,0.008970490893623933,0.0011912045660376327,0.0017868068490564488
17,2388.291280011,0.00023020000026008347,"[-0.00044555786553333, -0.0011060252362204827, -0.006111013322018598, 0.0, 0.0, 0.0, 0.0]","[-0.000290866875057675, -0.0007005004979613933, -0.007254537592263594]","[-0.000290866875057675, -0.0007005004979613933, -0.007254537592263594]","[0.06449841318786684, 0.19874562722403372, 0.04625291113744044]","[-0.00029086687505767983, -0.0007005004979613871, -0.007254537592263598]",0,0.006226258704598129,0.007294081173404615,0.007294081173404615,0.0012231219777740052,False,True,True,0.6,0.015,"[-0.00044555786553333, -0.0011060252362204827, -0.006111013322018598]","[-0.000290866875057675, -0.0007005004979613933, -0.007254537592263594]",0.006226258704598129,0.006226258704598129,0.007294081173404615,0.0012231219777740052,0.0018346829666610093
18,2399.455665019,0.0002955519998977252,"[-0.00038746085969330445, -0.00105253468897632, -0.0035264363602515968, 0.0, 0.0, 0.0, 0.0]","[-0.00034882326583905265, -0.0009117210125703494, -0.005017676853056396]","[-0.00034882326583905265, -0.0009117210125703494, -0.005017676853056396]","[0.06407710407093596, 0.19761042509922574, 0.04119906377706884]","[-0.0003488232658390572, -0.0009117210125703379, -0.005017676853056395]",0,0.003700501127171465,0.005111750568763196,0.005111750568763196,0.0014983723043698158,False,True,True,0.6,0.015,"[-0.00038746085969330445, -0.00105253468897632, -0.0035264363602515968]","[-0.00034882326583905265, -0.0009117210125703494, -0.005017676853056396]",0.003700501127171465,0.003700501127171465,0.005111750568763196,0.0014983723043698158,0.002247558456554723
19,2410.630100424,0.00023419800027113524,"[-0.00038746085969330445, -0.0008920630472438313, -0.0033867294974533804, 0.0, 0.0, 0.0, 0.0]","[-0.00037200582215160375, -0.0008999262333744385, -0.004039108439694586]","[-0.00037200582215160375, -0.0008999262333744385, -0.004039108439694586]","[0.06362914175665492, 0.19647619773363895, 0.03691608732467807]","[-0.0003720058221516054, -0.0008999262333744262, -0.004039108439694586]",0,0.003523611653825241,0.004154834839658759,0.004154834839658759,0.000652609356476977,False,True,True,0.6,0.015,"[-0.00038746085969330445, -0.0008920630472438313, -0.0033867294974533804]","[-0.00037200582215160375, -0.0008999262333744385, -0.004039108439694586]",0.003523611653825241,0.003523611653825241,0.004154834839658759,0.000652609356476977,0.0009789140347154673
